0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,,,,,,,
Meezan Paidaar Munafa Plan XII,,,,-,-,1.1%,0.78%,0.18%,275.87%,38.02%,57.8691,2025-05-22,"71,790,000"
NBP Islamic Fixed Term Munafa Plan III,,,,-,-,1%,0.96%,-,255.02%,36.89%,11.5387,2025-05-23,-
NBP Fixed Term Munafa Plan III (A),,,,-,-,0.41%,0.15%,-,76.91%,23.22%,10.5094,2025-05-29,"100,000"
MCB DCF Fixed Return Plan VII,,,,-,-,0.34%,1.73%,-,44.47%,23.82%,102.513,2025-05-29,"1,037,740,000"
Meezan Islamic Income Fund,,,,Medium,Forward,1.63%,1.5%,0.25%,40.75%,14.66%,59.176,2025-06-13,"30,307,000,000"
Meezan Paidaar Munafa Plan XVII,,,,-,-,0.29%,0.13%,-,37.1%,22.31%,50.9238,2025-05-26,"750,080,000"
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan I),,,,Low,Forward,2.45%,2%,0.75%,36.83%,13.4%,113.467,2025-06-13,"2,355,690,000"
NBP Fixed Term Munafa Plan VI (A),,,,-,-,0.32%,1.52%,-,29.51%,18.6%,10.1343,2025-05-29,"8,027,000,000"
Alfalah GHP Islamic Pension Fund,,,,-,Forward,1.41%,0.54%,-,28.63%,18.67%,198.546,2025-06-13,"179,910,000"
Al Ameen Islamic Sovereign Fund,,,,-,-,1.25%,1%,-,27.42%,15.63%,116.759,2025-06-12,"7,700,360,000"
Faysal Islamic Pension Fund,,,,-,Forward,1.46%,1.19%,-,26.32%,16.06%,168.245,2025-06-13,"147,090,000"
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan II),,,,Low,Forward,2.45%,2%,0.4%,24.94%,16.44%,113.628,2025-06-13,"3,763,420,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan X),,,,-,-,0.87%,0.6%,0.3%,22.53%,15.09%,100,2025-06-03,"15,599,500,000"
Alfalah Government Securities Fund Plan II,,,,-,-,0.86%,0.96%,0.13%,22.33%,14.46%,105.069,2025-06-13,"921,360,000"
ABL Islamic Pension Fund,,,,-,Forward,0.02%,1.25%,-,21.17%,12.15%,210.673,2025-06-13,"101,000,000"
AL Habib Islamic Income Fund,,,,-,-,1.47%,1.07%,1.03%,20.91%,14.42%,115.367,2025-06-12,"13,101,700,000"
MCB Alhamra KPK Govt Employees Pension Fund,,,,-,-,1.13%,0.6%,-,20.74%,17.5%,126.277,2025-06-13,"558,490,000"
AL Habib Islamic Savings Fund,,,,-,-,1.4%,1.03%,1.03%,19.34%,14.13%,113.889,2025-06-13,"18,926,700,000"
Faysal Islamic Special Income Plan I,,,,-,-,1.1%,0.15%,0.01%,19.21%,14.42%,11.4732,2025-06-14,"139,310,000"
Alfalah KPK Employee Pension Fund,,,,-,-,0.72%,-,-,19.1%,17.3%,125.921,2025-06-13,"41,550,000"
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan II),,,,Medium,Forward,2.6%,0.69%,0.43%,18.88%,15.84%,123.779,2025-06-13,"2,989,180,000"
ABL Islamic Pension Fund,,,,-,Forward,0.02%,1%,-,18.23%,13.58%,212.637,2025-06-13,"253,000,000"
Alhamra Daily Dividend Fund,,,,-,-,1.7%,1.19%,0.42%,18.12%,13.37%,100,2025-06-13,"1,983,540,000"
Pak Qatar Income Plan,,,,-,-,0.96%,0.45%,0.5%,17.47%,16.71%,117.438,2025-06-13,"12,231,700,000"
Alfalah Islamic Stable Return Fund Plan IV,,,,-,-,1.02%,1%,-,17.44%,19.06%,116.214,2025-05-23,"1,241,230,000"
Al Ameen Islamic Aggressive Income Plan I,,,,-,-,1.71%,0.6%,-,17.43%,16.73%,126.023,2025-06-12,"3,970,000"
Alhamra Islamic Pension Fund,,,,-,Forward,1.57%,1.15%,-,16.5%,19.76%,431.4,2025-06-13,"1,724,000,000"
Alhamra Islamic Income Fund,,,,Medium,Forward,1.66%,1.75%,0.3%,15.67%,15.53%,119.467,2025-06-13,"27,231,500,000"
Pak Qatar Islamic Pension Fund,,,,-,-,2.28%,1.25%,0.5%,15.57%,17.32%,153.457,2025-06-13,"27,370,000"
Al Ameen Islamic Income Fund,,,,-,-,0.78%,1.5%,-,15.55%,17.01%,116.162,2025-06-12,"1,554,400,000"
Faysal Islamic Pension Fund,,,,-,Forward,1.08%,1.4%,0.65%,15.3%,16.17%,171.839,2025-06-13,"449,010,000"
HBL Mehfooz Munafa Fund Plan III,,,,-,-,0.91%,0.4%,-,15.3%,17.39%,114.961,2025-05-20,"1,604,000,000"
UBL Fixed Return Plan IV (O),,,,-,-,0.98%,0.92%,-,15.18%,10.4%,102.649,2025-06-12,"3,011,170,000"
Atlas KPK Islamic Pension Fund,,,,-,-,0.85%,0.02%,-,14.53%,17.49%,126.26,2025-06-13,"46,000,000"
AL Habib Fixed Return Fund Plan 19,,,,-,-,0.37%,0.09%,0.1%,14.47%,15.81%,104.246,2025-06-12,"81,000,000"
UBL Fixed Return Plan IV (N),,,,-,-,0.29%,0.23%,-,14.43%,13.37%,103.591,2025-06-12,"4,081,200,000"
Alhamra Wada Plan (Alhamra Wada Plan XVII),,,,-,-,0.2%,0.05%,-,14.03%,11.35%,102.487,2025-06-13,"2,722,190,000"
Atlas Pension Islamic Fund,,,,-,-,0.71%,0.4%,-,13.89%,15.34%,438.7,2025-06-13,"1,250,000,000"
Alfalah Pension Fund - II (Formerly: Faysal Pension Fund),,,,-,Forward,1.01%,0.01%,-,13.8%,15.45%,167.912,2025-06-12,"8,710,000"
AL Habib Sovereign Income Fund Plan 1,,,,-,-,0.19%,-,-,13.64%,13.64%,100.336,2025-06-12,-
AKD Islamic Income Fund,,,,Medium,Forward,1.71%,1%,0.2%,13.62%,15.15%,58.9528,2025-06-13,"1,401,590,000"
MCB DCF Fixed Return III (Plan IV),,,,-,-,0.5%,0.31%,-,13.38%,15.44%,110.403,2025-06-13,"549,880,000"
HBL Islamic Pension Fund,,,,-,Forward,0.98%,0.75%,-,13.37%,17.11%,311.185,2025-06-13,"496,490,000"
HBL Islamic Savings Plan I,,,,-,-,2%,1.6%,0.01%,12.99%,19.9%,112.693,2025-06-13,"6,484,000,000"
Meezan Tahaffuz Pension Fund,,,,-,Forward,0.7%,0.5%,3%,12.88%,15.65%,476.553,2025-06-13,"15,144,900,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XIII),,,,-,-,0.76%,0.6%,0.3%,12.83%,12.64%,105.161,2025-06-13,"6,580,350,000"
Pak Qatar Cash Plan,,,,-,-,0.88%,0.45%,0.5%,12.78%,14.48%,114.584,2025-06-14,"5,433,250,000"
Faysal Islamic Savings Growth Fund,,,,Medium,Forward,2.41%,1.93%,2%,12.77%,15.75%,121.2,2025-06-13,"3,076,860,000"
Alfalah GHP Pension Fund,,,,-,Forward,1.6%,0.56%,-,12.74%,19.05%,229.335,2025-06-13,"140,910,000"
NAFA Pension Fund,,,,-,Forward,1.4%,1.12%,0.5%,12.68%,16.8%,362.14,2025-06-13,"2,405,000,000"
NBP Islamic Government Securities Plan III,,,,-,-,1.25%,1.18%,0.4%,12.64%,17.99%,11.4829,2025-06-13,"3,433,000,000"
NAFA Islamic Pension Fund,,,,-,Forward,1.39%,1.12%,0.5%,12.55%,14.1%,272.245,2025-06-13,"2,735,000,000"
Atlas Pension Islamic Fund,,,,-,-,0.65%,0.35%,-,12.37%,13.9%,465.23,2025-06-13,"1,819,000,000"
Alfalah Stable Return Fund Plan XX,,,,-,-,1%,0.7%,-,12.36%,17.34%,101.378,2025-06-13,"5,260,540,000"
UBL Income Opportunity Fund,,,,Medium,Forward,1.37%,0.4%,-,12.35%,17.2%,128.509,2025-06-12,"6,087,010,000"
Alfalah GHP Cash Fund,,,,Low,Backward,1.82%,0.58%,0.33%,12.29%,14.58%,504.253,2025-06-13,"4,818,720,000"
Alhamra Government Securities Plan I,,,,-,-,1.79%,1.23%,-,12.21%,14.89%,114.192,2025-06-13,"519,000,000"
ABL Islamic Income Fund,,,,Moderate,Forward,1.11%,0.55%,0.15%,12.18%,15.28%,11.7844,2025-06-13,"1,987,000,000"
Alfalah GHP Islamic Pension Fund,,,,Low,Forward,1.19%,0.6%,-,12.14%,14.77%,203.919,2025-06-13,"289,710,000"
Alfalah Stable Return Plan IV,,,,-,-,0.55%,1.5%,-,12.13%,21.52%,115.747,2025-06-13,"3,042,150,000"
HBL Islamic Income Fund,,,,Medium,Forward,1.73%,1.36%,0.05%,12.12%,13.36%,116.933,2025-06-13,"15,900,000,000"
AL Habib Fixed Return Fund Plan 20,,,,-,-,0.21%,0.06%,0.07%,12.1%,12%,103.221,2025-06-12,"1,862,900,000"
AL Habib Fixed Return Fund Plan 22,,,,-,-,1.3%,0.87%,-,11.93%,12.14%,100.731,2025-06-12,"1,362,060,000"
Alfalah GHP Islamic Income Fund,,,,Medium,Forward,1.69%,1.3%,0.35%,11.92%,13.97%,117.035,2025-06-13,"3,488,740,000"
