Symbol,Name,Last Price,Change %,Volume,Market Cap
A,"Agilent Technologies, Inc.",−1.54%,1.65 M,0.69,33.26 B USD
AA,Alcoa Corporation,−1.77%,3.2 M,0.49,7.34 B USD
A,AACB,0.00%,5.04 K,0.02,239.57 M USD
AACT,Ares Acquisition Corporation II,−0.09%,136.82 K,0.16,699.01 M USD
AAL,"American Airlines Group, Inc.",−4.86%,72.78 M,1.42,6.84 B USD
AAM,AA Mission Acquisition Corp.,−0.00%,1 K,0.02,457.26 M USD
AAME,Atlantic American Corporation,−0.54%,7.51 K,1.52,37.33 M USD
AAMI,Acadian Asset Management Inc.,−1.83%,201.82 K,0.84,1.12 B USD
AAOI,"Applied Optoelectronics, Inc.",−8.57%,4.97 M,1.09,868.47 M USD
AAON,"AAON, Inc.",−1.56%,1.01 M,0.95,5.94 B USD
AAP,Advance Auto Parts Inc.,−4.61%,2.13 M,1.00,2.9 B USD
AAPL,Apple Inc.,−1.38%,51.45 M,0.97,2.93 T USD
AARD,"Aardvark Therapeutics, Inc.",−2.89%,14.77 K,0.61,233.01 M USD
AB,AllianceBernstein Holding L.P.,−1.97%,205.35 K,0.94,4.36 B USD
ABAT,American Battery Technology Company,−3.65%,660.2 K,0.72,122.13 M USD
ABBV,AbbVie Inc.,−0.70%,4.97 M,0.95,337.52 B USD
ABCB,Ameris Bancorp,−2.61%,418.51 K,1.62,4.18 B USD
ABCL,AbCellera Biologics Inc.,+1.59%,7.09 M,0.95,955.15 M USD
ABEO,Abeona Therapeutics Inc.,−1.36%,373.88 K,0.42,315.13 M USD
ABG,Asbury Automotive Group Inc,−3.00%,104.8 K,0.91,4.57 B USD
ABL,"Abacus Global Management, Inc.",+3.77%,2.14 M,0.92,579.44 M USD
ABLV,Able View Global Inc.,+3.24%,3.17 K,0.27,55.07 M USD
ABM,ABM Industries Incorporated,−3.00%,660.48 K,0.77,2.8 B USD
ABNB,"Airbnb, Inc.",−2.36%,5.09 M,0.92,84.9 B USD
ABOS,"Acumen Pharmaceuticals, Inc.",−6.14%,199.31 K,0.79,64.81 M USD
ABP,"Abpro Holdings, Inc",−7.05%,2.05 M,0.30,13.07 M USD
ABSI,Absci Corporation,−2.11%,2.24 M,0.85,354.61 M USD
ABT,Abbott Laboratories,−0.61%,3.93 M,0.68,235.96 B USD
ABTS,Abits Group Inc,−3.84%,96.93 K,2.47,10.1 M USD
ABUS,Arbutus Biopharma Corporation,−1.40%,515.44 K,0.96,676.09 M USD
ABVC,"ABVC BioPharma, Inc.",−4.32%,284.84 K,0.87,30.06 M USD
ABVE,Above Food Ingredients Inc.,−5.17%,140.91 K,0.86,56.31 M USD
AC,"Associated Capital Group, Inc.",−0.48%,1.27 K,0.32,793.31 M USD
ACA,"Arcosa, Inc.",−2.14%,317.77 K,1.68,4.19 B USD
ACAD,ACADIA Pharmaceuticals Inc.,−0.14%,1.15 M,0.76,3.63 B USD
ACCO,Acco Brands Corporation,−3.76%,567.99 K,0.65,322.55 M USD
ACCS,ACCESS Newswire Inc.,−2.73%,4.59 K,0.56,45.21 M USD
ACDC,ProFrac Holding Corp.,+0.99%,445.78 K,0.45,1.47 B USD
ACEL,"Accel Entertainment, Inc.",−3.85%,234.13 K,0.91,952.21 M USD
ACET,"Adicet Bio, Inc.",−3.80%,336.37 K,0.91,62.06 M USD
ACGL,Arch Capital Group Ltd.,−1.00%,1.65 M,1.08,34.1 B USD
ACHC,"Acadia Healthcare Company, Inc.",−4.07%,1.74 M,0.84,1.96 B USD
ACHR,Archer Aviation Inc.,−14.83%,111.01 M,3.08,5.48 B USD
ACHV,"Achieve Life Sciences, Inc.",−2.11%,256.56 K,0.62,112.73 M USD
ACI,"Albertsons Companies, Inc.",−0.84%,3.69 M,0.84,12.22 B USD
ACIC,American Coastal Insurance Corporation,−2.07%,188.67 K,0.49,504.33 M USD
ACIU,AC Immune SA,−5.80%,134.24 K,1.02,192.94 M USD
ACIW,"ACI Worldwide, Inc.",−3.86%,645.65 K,1.13,4.73 B USD
